ranking,podcast,produtora,país,formato,data-base,link
84,Lidercast Café Brasil,Luciano Pires & Café Brasil Editorial Ltda,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/f8325ef0-f7fd-0132-1159-059c869cc4eb
85,TED Radio Hour,NPR,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/052df5e0-72b8-012f-1d57-525400c11844
86,Filosofia Pop,Filosofia Pop,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/56aa96e0-d74d-0132-0356-059c869cc4eb
87,PapoTech,JR Gandara e Bia Kunze e Vinicius Lobo,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/ae6369b0-1fe3-012e-02b0-00163e1b201c
88,Viracasacas Podcast,Viracasacas,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/dee3a250-f2f5-0134-ec5e-4114446340cb
89,Pauta Livre News,Pauta Livre News,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/a0d5a400-6d88-012e-2ecc-00163e1b201c
90,Não Obstante,Marcos Beccari,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/5a6c7050-ab31-0132-307f-0b39892d38e0
91,ONDEM Podcasts,Filipe Teixeira,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/56ab7440-5157-0132-cea1-5f4c86fd3263
92,Troca o Disco,Troca o Disco,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/94049760-90c7-0130-1080-723c91aeae46
93,Podcast Inglês Online,Ana Luiza Bergamini,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/116764c0-ea0a-012e-df21-525400c11844
94,CBN Dinheiro - Mauro Halfeld,CBN,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/a6f750b0-5de5-012e-24d3-00163e1b201c
95,Economia,CBN,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/5d308950-1fe3-012e-02b0-00163e1b201c
96,Podcasteros - Game of Thrones,Podcasteros,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/d4bf9c00-67a4-0131-776b-723c91aeae46
97,Petit Journal,Petit Journal,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/cafea300-b9d7-0134-10a8-25324e2a541d
98,Rádiofobia Classics,Rádiofobia Podcast Network,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/ee4cf6a0-c31a-0130-31ec-723c91aeae46
100,1986,Estalo Podcasts,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/7ab246a0-4b62-0135-902b-63f4b61a9224
fora dos 100,37 Graus,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/5ffc9c50-900c-0136-7b92-27f978dac4db
fora dos 100,Oêa,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/ca8462a0-5178-0136-fa7c-0fe84b59566d
fora dos 100,Histórias de Ninar para Garotas Rebeldes,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/13252ab0-35f8-0136-fa7b-0fe84b59566d
fora dos 100,Beleza pra quem?,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/bb6d5e90-4d74-0137-f266-1d245fc5f9cf
fora dos 100,99 Podcast,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/c75352b0-62f1-0137-f267-1d245fc5f9cf
fora dos 100,A Trivialista,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/11e583d0-85b4-0137-f541-17da1cd0d495
fora dos 100,Armas da Crítica,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/0c0c9400-5354-0137-f266-1d245fc5f9cf
fora dos 100,Bumbumcast,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/17a68450-757d-0136-7b8e-27f978dac4db
fora dos 100,Donos da Razão,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/853dfdc0-6aeb-0137-f267-1d245fc5f9cf
fora dos 100,HQ da Vida + Doutora Drag,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/4bda1e80-535a-0134-ec2d-0d50f522381b
fora dos 100,Esquizofrenoias,AGÊNCIA DE PODCAST,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/97eb18e0-9310-0134-90b5-3327a14bcdba
fora dos 100,Export Report,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/dff82050-f10b-0136-324d-08b04944ede4
fora dos 100,Fresno - sua alegria foi cancelada,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/c60796f0-82df-0137-f540-17da1cd0d495
fora dos 100,Caixa-Preta,Volt Data Lab,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/82aa3870-294e-0136-c266-7d73a919276a
fora dos 100,Maria vai com as outras,revista piauí,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/4102e9c0-44be-0136-fa7c-0fe84b59566d
