episode_title,episode_date,length_minutes,n_episodes,title,author,frequency
Speak English 03 - Pronuncia que eu te escuto,2018-04-20,42,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 615 - E se o Brasil fosse colonizado por outras potências?,2018-04-13,80,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 614 - Dormindo no ponto,2018-04-06,114,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 26 - Breve história da Apple,2018-04-06,58,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 613 - Especialistas de porra nenhuma,2018-03-30,96,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 39 - A vitória do Orlando City,2018-03-30,75,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 612 - Blockchain, criptomoedas e lagosta",2018-03-23,117,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 611 - Histórias Desgraçadas,2018-03-16,108,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 02 - Traduções absurdas,2018-03-16,31,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 610 - Pantera Negra: Afrofuturismo representado,2018-03-09,100,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 609 - Nerdcast sem Fio 4,2018-03-02,87,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 25 - Ferramentas de produtividade,2018-03-02,50,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 608 - Punisheiro fez justiça?,2018-02-23,104,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 38 - Muito além do marketing,2018-02-23,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdLab 01 - NerdLab Petrobras,2018-02-23,124,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 607 - Estamos sozinhos no universo?,2018-02-16,70,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 01 - Os erros mais comuns dos brasileiros,2018-02-16,50,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 606 - Segredos dos Restaurantes,2018-02-09,111,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 605 - Batalha de Crossovers 7,2018-02-02,95,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 24 - Deu Bug!,2018-02-02,55,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 604 - O Futuro da Educação,2018-01-26,96,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 37 - Ferramentas para avaliar seu negócio,2018-01-26,54,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 603 - Bariátricas Selvagens,2018-01-19,161,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 602 - RPG Call of Cthulhu 2: O horror do Necronomicon,2018-01-12,178,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 601 - Política Internacional 2017,2018-01-05,116,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 23 - Breve história dos games,2018-01-05,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 600 - O Melhor de 600 Nerdcasts!,2017-12-29,165,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 36 - O que esperar de 2018?,2017-12-29,71,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 599 - Star Wars: Os Últimos Jedi – Vem pro nosso lado!,2017-12-22,123,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 598 - Stranger Things 2: ainda estranho, mas nem tanto",2017-12-15,117,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 597 - Liga da Justiça: e aí?,2017-12-08,136,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 596 - Promessas de ano novo,2017-12-01,68,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 22 - Chatbots,2017-12-01,46,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 595 - Qual é a música? 2,2017-11-24,122,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 35 - Seu dinheiro trabalhando. Ou não!,2017-11-24,67,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 594 - Blade Runner 2049: menos noir e mais futurista,2017-11-17,115,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 593 - Expansão para o Oeste,2017-11-10,109,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 592 - Poder!,2017-11-03,101,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 21 - Software livre,2017-11-03,50,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 591 - Fake News,2017-10-27,113,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 34 - Reconfigurando o seu negócio,2017-10-27,51,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 590 - Rick and Morty: Não pense nisso!,2017-10-20,166,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 589 - Eu sobrevivi! 2,2017-10-13,109,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 588 - A Mãe segundo Aronofsky,2017-10-06,111,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 20 - Tecnologias mortas,2017-10-06,74,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 587 - Quem defende os Defensores?,2017-09-29,110,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 33 - Ray Kroc: Fome de expansão,2017-09-29,67,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 586 - O melhor hambúrguer do Brasil,2017-09-22,103,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 585 - Junk Food,2017-09-15,137,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 584 - Hábitos fantásticos e onde habitam,2017-09-08,87,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 583 - Game of Thrones: Virou fanfic?,2017-09-01,154,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 19 - Profissão: Programador 3.0,2017-09-01,53,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 582 - Quem tem Nerdcast, tem medo! Ou não! 2",2017-08-25,126,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 32 - Shiba in box,2017-08-25,47,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 581 - Profissão: Mecânico de avião,2017-08-18,127,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 580 - Road Trip,2017-08-11,95,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 579 - Brincadeira de Criança 2,2017-08-04,104,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 18 - Metodologias ágeis,2017-08-04,44,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 578 - Dunkirk – A paradinha do Reich,2017-07-28,79,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 31 - Branding e construção de marca,2017-07-28,62,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 577 - Fama, pra que te quero?",2017-07-21,96,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 576 - Aquele Tipinho de Pessoa 2,2017-07-14,82,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 575 - Nossa língua portuguesa,2017-07-07,101,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 17 - Aprendizado Online,2017-07-07,51,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 574 - A Reforma Protestante,2017-06-30,94,830,NerdCast,Jovem Nerd,Weekly podcast
"Empreendedor 30 - Visão, coragem e competência",2017-06-30,54,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 573 - Momentos Sublimes,2017-06-23,73,830,NerdCast,Jovem Nerd,Weekly podcast
GE 01 - Indústrias Superpoderosas,2017-06-23,42,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 572 - A origem da vida,2017-06-16,75,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 571 - Especial Dia dos Namorados 2017,2017-06-09,164,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 570 - Fakestarters: A arte de não entregar nada,2017-06-02,75,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 16 - Hackeando a vida com biohacking,2017-06-02,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 569 - Situações Absurdas,2017-05-26,76,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 29 - O benefício das incertezas,2017-05-26,48,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 568 - Profissão: Dentista,2017-05-19,97,830,NerdCast,Jovem Nerd,Weekly podcast
